id,store_id,name,kcal,cost
1,1,Burger,363,4.51
2,1,Juice,266,4.42
3,1,Sandwich,560,6.22
4,1,Soup,622,7.06
5,1,Pizza,265,4.0
6,1,Pasta,247,4.26
7,1,Sushi,411,4.78
8,1,Special_1_A,297,4.95
9,1,Special_1_B,392,4.42
10,2,Taco,623,6.6
11,2,Burger,268,3.07
12,2,Sushi,537,6.57
13,2,Pasta,517,5.28
14,2,Salad,461,5.44
15,2,Sandwich,459,6.02
16,2,Coffee,460,5.88
17,2,Pizza,432,5.33
18,2,Soup,533,4.78
19,2,Juice,362,4.14
20,2,Special_2_A,305,3.82
21,2,Special_2_B,689,6.55
22,3,Juice,336,4.99
23,3,Pasta,385,3.69
24,3,Soup,216,2.56
25,3,Coffee,509,5.86
26,3,Sushi,544,5.69
27,3,Salad,448,5.73
28,3,Taco,364,4.9
29,3,Burger,300,3.71
30,3,Special_3_A,351,3.47
31,3,Special_3_B,507,5.35
32,4,Taco,116,1.31
33,4,Sandwich,181,2.21
34,4,Sushi,491,4.87
35,4,Soup,351,5.46
36,4,Pizza,355,5.05
37,4,Pasta,251,3.43
38,4,Salad,248,3.3
39,4,Special_4_A,571,4.88
40,4,Special_4_B,498,5.84
41,5,Juice,452,5.44
42,5,Sandwich,664,7.7
43,5,Burger,484,6.7
44,5,Soup,206,2.7
45,5,Coffee,253,3.3
46,5,Salad,172,3.44
47,5,Taco,379,3.48
48,5,Pasta,237,3.73
49,5,Sushi,570,7.85
50,5,Special_5_A,944,9.7
51,5,Special_5_B,241,1.8
52,6,Juice,391,3.93
53,6,Sushi,118,2.09
54,6,Taco,410,6.33
55,6,Coffee,443,5.98
56,6,Pasta,330,3.3
57,6,Salad,246,2.97
58,6,Pizza,803,7.53
59,6,Special_6_A,570,5.53
60,6,Special_6_B,587,6.7
