date,item,Price,item_count
2019-01-01,Special_1_A,7.79,8
2019-01-01,Sushi,7.28,12
2019-01-01,Sandwich,10.61,11
2019-01-01,Pizza,7.53,10
2019-01-01,Juice,7.54,7
2019-01-01,Special_1_B,7.99,8
2019-01-01,Burger,7.93,6
2019-01-01,Pasta,7.35,14
2019-01-01,Soup,12.15,15
2019-01-01,Special_2_B,12.89,8
2019-01-01,Special_2_A,7.75,14
2019-01-01,Juice,6.95,11
2019-01-01,Pizza,10.29,9
2019-01-01,Salad,9.2,11
2019-01-01,Sushi,11.66,15
2019-01-01,Soup,9.49,7
2019-01-01,Sandwich,11.2,9
2019-01-01,Taco,8.81,18
2019-01-01,Special_3_A,7.25,20
2019-01-01,Special_3_B,10.08,2
2019-01-01,Pasta,6.77,10
2019-01-01,Juice,9.0,9
2019-01-01,Special_4_B,9.98,13
2019-01-01,Soup,7.95,3
2019-01-01,Sushi,8.68,7
2019-01-01,Pasta,5.15,19
2019-01-01,Salad,4.96,6
2019-01-01,Pizza,8.75,10
2019-01-01,Sandwich,14.61,12
2019-01-01,Sushi,14.7,7
2019-01-01,Special_5_B,3.38,7
2019-01-01,Taco,6.54,8
2019-01-01,Juice,10.28,17
2019-01-01,Juice,7.3,7
2019-01-01,Taco,9.54,9
2019-01-01,Sushi,3.5,15
2019-01-01,Pasta,5.26,10
2019-01-02,Special_1_B,7.66,9
2019-01-02,Juice,8.08,10
2019-01-02,Pizza,6.71,14
2019-01-02,Soup,11.6,8
2019-01-02,Pasta,10.1,13
2019-01-02,Special_2_A,6.6,21
2019-01-02,Sandwich,9.82,14
2019-01-02,Burger,5.01,16
2019-01-02,Special_3_B,8.75,6
2019-01-02,Juice,8.65,4
2019-01-02,Special_3_A,6.48,16
2019-01-02,Burger,6.14,5
2019-01-02,Taco,7.96,13
2019-01-02,Salad,9.18,8
2019-01-02,Pizza,9.88,12
2019-01-02,Special_4_A,8.02,14
2019-01-02,Salad,5.21,10
2019-01-02,Special_4_B,10.67,15
2019-01-02,Sushi,13.38,16
2019-01-02,Special_5_B,3.25,12
2019-01-02,Special_5_A,15.58,2
2019-01-02,Sandwich,13.69,6
2019-01-02,Taco,6.32,4
2019-01-02,Pasta,5.73,11
2019-01-02,Special_6_A,8.83,8
2019-01-02,Sushi,3.76,6
2019-01-02,Juice,7.69,7
2019-01-02,Salad,5.83,11
2019-01-02,Pasta,5.36,3
2019-01-02,Coffee,10.25,7
2019-01-02,Taco,11.32,14
2019-01-02,Special_6_B,10.7,13
2019-01-03,Sandwich,12.06,20
2019-01-03,Soup,11.28,9
2019-01-03,Pizza,6.75,13
2019-01-03,Juice,7.39,11
2019-01-03,Pasta,7.23,6
2019-01-03,Special_1_B,7.37,15
2019-01-03,Sushi,9.62,7
2019-01-03,Special_1_A,8.62,11
2019-01-03,Pizza,10.03,20
2019-01-03,Burger,5.5,8
2019-01-03,Taco,11.97,16
2019-01-03,Sushi,10.09,11
2019-01-03,Coffee,9.54,12
2019-01-03,Special_3_B,9.27,2
2019-01-03,Soup,4.11,8
2019-01-03,Salad,10.78,8
2019-01-03,Sushi,9.8,9
2019-01-03,Special_3_A,5.86,10
2019-01-03,Special_4_B,8.52,12
2019-01-03,Special_4_A,8.49,11
2019-01-03,Sandwich,4.25,8
2019-01-03,Soup,9.22,12
2019-01-03,Pizza,9.44,11
2019-01-03,Sushi,8.13,4
2019-01-03,Salad,5.98,11
2019-01-03,Special_5_B,3.04,10
2019-01-03,Sushi,15.25,18
2019-01-03,Soup,4.86,16
2019-01-03,Pasta,6.88,9
